,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,SequelName,HasSequel,isManga,4-koma manga,Book,Card game,Digital manga,Game,Light novel,Manga,Music,Novel,Original,Other,Picture book,Radio,Unknown,Visual novel,Web manga
14,24,School Rumble,800,"Comedy, Romance, School, Shounen",School Rumble,スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625,514,275464,5137,12277,157789,12856,13491,79051,17907.0,27623.0,38112.0,27327.0,11034.0,5396.0,1897.0,780.0,441.0,405.0,School Rumble Ni Gakki,Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,25,Sunabouzu,800,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844,1284,111734,790,6273,53819,6255,7951,37436,3589.0,6664.0,12349.0,12702.0,6033.0,3079.0,1521.0,643.0,350.0,297.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,26,Texhnolyze,800,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896,823,182599,3671,11335,47532,9815,8112,105805,6856.0,8309.0,10851.0,8636.0,4429.0,2462.0,1456.0,684.0,411.0,664.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,27,Trinity Blood,800,"Action, Supernatural, Vampire",Trinity Blood,トリニティ・ブラッド,TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,Unknown,Funimation,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2240,936,158343,1479,7794,87958,8940,9349,44302,6091.0,9759.0,17761.0,20152.0,10273.0,5392.0,2250.0,873.0,456.0,298.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,28,Yakitate!! Japan,800,"Comedy, Shounen",Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609,1666,80183,887,5007,39992,5764,4633,24787,4347.0,7425.0,11074.0,7965.0,3038.0,1248.0,345.0,118.0,56.0,58.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,29,Zipang,800,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,ジパング,TV,26,"Oct 8, 2004 to Apr 1, 2005",Fall 2004,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1565,3985,16652,152,857,6807,721,599,7668,430.0,874.0,1801.0,1696.0,662.0,279.0,114.0,38.0,13.0,28.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,30,Neon Genesis Evangelion,900,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208,54,1160651,71308,66549,815938,35566,20358,222240,186797.0,168056.0,157596.0,93532.0,38385.0,17571.0,9686.0,4408.0,3263.0,3714.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,48,.hack//Sign,700,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687,940,158227,1359,6733,91528,8315,11881,39770,5266.0,8051.0,15537.0,20391.0,12617.0,7610.0,3688.0,1502.0,825.0,619.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,50,Aa! Megami-sama! (TV),800,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116,1083,135747,1124,5841,85884,6517,7971,29534,5425.0,9097.0,17037.0,20033.0,10160.0,5221.0,1678.0,591.0,291.0,214.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,53,Ai Yori Aoshi,800,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012,1465,94793,458,4111,60075,4160,5814,20633,3124.0,5402.0,10587.0,13835.0,8066.0,4414.0,1627.0,609.0,287.0,206.0,Ai Yori Aoshi: Enishi,Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,55,Arc the Lad,700,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,アークザラッド,TV,26,"Apr 5, 1999 to Sep 11, 1999",Spring 1999,"Sony Pictures Entertainment, Aniplex",ADV Films,Bee Train,Game,22 min. per ep.,R - 17+ (violence & profanity),5738,4259,14187,17,581,7032,718,910,4946,174.0,271.0,762.0,1605.0,1252.0,814.0,297.0,108.0,50.0,37.0,,No Sequel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,56,Avenger,600,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,アヴェンジャー,TV,13,"Oct 2, 2003 to Dec 25, 2003",Fall 2003,Production I.G,Bandai Entertainment,"Bee Train, Xebec",Original,24 min. per ep.,R - 17+ (violence & profanity),8501,4073,15779,21,617,7906,712,1255,5289,166.0,259.0,699.0,1335.0,1371.0,1135.0,698.0,343.0,222.0,133.0,Marvel Disk Wars: The Avengers,Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,57,Beck,900,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,ベック,TV,26,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25 min. per ep.,R - 17+ (violence & profanity),221,570,255668,7038,10580,133432,10190,8488,92978,23840.0,31103.0,30926.0,17566.0,6598.0,3000.0,1173.0,446.0,225.0,235.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,58,Blue Gender,800,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455,1886,65360,389,2738,31583,2534,3195,25310,1451.0,2733.0,5800.0,7810.0,4354.0,2327.0,1012.0,381.0,229.0,168.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,59,Chobits,800,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804,332,402646,3859,15294,272425,18082,22409,74436,20499.0,32733.0,55560.0,58689.0,29800.0,14855.0,5772.0,2124.0,1159.0,816.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,60,Chrno Crusade,800,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,クロノクルセイド,TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120,742,198007,2064,8228,117484,9881,9842,52572,11469.0,16051.0,25109.0,23075.0,11012.0,5331.0,1919.0,652.0,280.0,256.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,61,D.N.Angel,800,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761,891,167615,1523,5183,117045,7599,11057,26731,7515.0,11105.0,19858.0,25101.0,15032.0,8167.0,3203.0,1092.0,595.0,378.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,62,D.C.: Da Capo,700,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,26,"Jul 5, 2003 to Dec 27, 2003",Summer 2003,"Lantis, King Records",Unknown,"feel., Zexcs",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4589,1852,67491,189,3024,36037,2840,3852,21738,1542.0,2446.0,5172.0,7807.0,5472.0,3340.0,1493.0,645.0,376.0,242.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,63,DearS,700,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,ディアーズ,TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274,1146,128788,391,3766,95113,3066,5507,21336,3464.0,5632.0,11499.0,19352.0,14791.0,8839.0,4070.0,1863.0,1029.0,730.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,64,Rozen Maiden,800,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782,846,176775,2074,5599,113914,6040,7852,43370,7868.0,12729.0,23021.0,23961.0,11535.0,5531.0,2028.0,737.0,387.0,292.0,Rozen Maiden: Träumend,Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,66,Azumanga Daioh,800,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,あずまんが大王 THE ANIMATION,TV,26,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,555,554,262980,5181,13747,143431,16133,13115,76554,18422.0,27283.0,35693.0,25478.0,10326.0,5162.0,1797.0,707.0,406.0,412.0,,No Sequel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,68,Black Cat (TV),800,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,ブラックキャット,TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965,622,231668,1955,10510,142921,11736,11003,55498,8654.0,15253.0,29392.0,34019.0,16081.0,7534.0,2521.0,863.0,395.0,234.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,69,Cluster Edge,700,"Action, Fantasy, Military, Sci-Fi",Unknown,CLUSTER EDGE（クラスターエッジ）,TV,25,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,6646,5061,9299,13,500,3068,629,942,4160,113.0,162.0,372.0,652.0,627.0,412.0,261.0,108.0,62.0,31.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,72,Full Metal Panic? Fumoffu,900,"Action, Comedy, School",Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452,571,254465,2988,5383,204041,4435,3533,37073,24023.0,37507.0,45884.0,30305.0,11085.0,4417.0,1332.0,442.0,194.0,164.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,74,Gakuen Alice,800,"Comedy, School, Shoujo, Super Power",Gakuen Alice,学園アリス,TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G - All Ages,1158,1640,81446,1613,2495,57369,2843,2916,15823,5560.0,7151.0,11074.0,11158.0,5331.0,2357.0,618.0,214.0,115.0,104.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,76,Mahou Shoujo Lyrical Nanoha,800,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828,1550,88890,1036,3287,47731,2865,2625,32382,3193.0,5032.0,9945.0,10737.0,4999.0,2363.0,736.0,276.0,140.0,112.0,Mahou Shoujo Lyrical Nanoha A's,Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,79,Shuffle!,800,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,SHUFFLE! (シャッフル!),TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231,600,240751,1572,10943,151944,9558,13227,55079,8852.0,14660.0,26443.0,32343.0,18951.0,10530.0,5019.0,2184.0,1323.0,1088.0,Shuffle! Memories,Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,80,Mobile Suit Gundam,800,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,機動戦士ガンダム,TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867,1427,97216,1787,7737,52669,5473,3100,28237,5395.0,7488.0,12922.0,11417.0,4169.0,1598.0,505.0,179.0,59.0,104.0,Mobile Suit Gundam ZZ,Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,85,Mobile Suit Zeta Gundam,800,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,655,2159,53822,1721,3912,32798,2628,1049,13435,4021.0,5901.0,7986.0,5578.0,2118.0,896.0,392.0,152.0,65.0,97.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,89,Mobile Suit Victory Gundam,700,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,機動戦士Vガンダム,TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,4632,3588,20794,95,1225,10068,1094,628,7779,430.0,735.0,1589.0,2272.0,1406.0,796.0,487.0,240.0,90.0,89.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,92,After War Gundam X,800,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,機動新世紀ガンダムX,TV,39,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2228,3043,28862,189,1554,15987,1746,983,8592,788.0,1633.0,3412.0,3998.0,1801.0,813.0,304.0,100.0,43.0,39.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,95,Turn A Gundam,800,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,∀ガンダム,TV,50,"Apr 9, 1999 to Apr 14, 2000",Spring 1999,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,1018,2714,35670,760,2378,14651,2327,1448,14866,1815.0,2212.0,3129.0,2892.0,1403.0,706.0,299.0,127.0,87.0,66.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,97,Last Exile,800,"Action, Sci-Fi, Adventure",Last Exile,LAST EXILE（ラストエグザイル）,TV,26,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,24 min. per ep.,PG-13 - Teens 13 or older,795,995,149528,1848,5943,77235,6541,5038,54771,7078.0,12558.0,20122.0,14844.0,5886.0,2579.0,825.0,286.0,140.0,109.0,Last Exile: Ginyoku no Fam,Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,98,Mai-HiME,800,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,舞-HiME,TV,26,"Sep 30, 2004 to Mar 31, 2005",Fall 2004,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1698,1381,101495,1262,3442,60321,3690,4215,29827,4076.0,7287.0,12622.0,12897.0,6091.0,3053.0,1129.0,391.0,211.0,191.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,99,Mai-Otome,800,"Comedy, Drama, Fantasy, Magic",My-Otome,舞-乙HiME,TV,26,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2308,2370,46018,333,1147,31335,1222,1598,10716,1673.0,3271.0,5798.0,6647.0,3441.0,1676.0,706.0,242.0,128.0,101.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,100,Shin Shirayuki-hime Densetsu Prétear,800,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,新白雪姫伝説プリーティア,TV,13,"Apr 4, 2001 to Jun 27, 2001",Spring 2001,"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2785,2162,53508,457,1607,33827,1504,1760,14810,2198.0,3135.0,5368.0,7030.0,4152.0,2306.0,783.0,270.0,127.0,98.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,101,Air,800,"Slice of Life, Supernatural, Drama, Romance",Air,AIR,TV,12,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,2230,563,259381,2704,7367,170036,8109,9992,63877,15057.0,20060.0,31042.0,33295.0,19368.0,10463.0,4988.0,2039.0,1105.0,803.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
