,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,SequelName,HasSequel,isManga,4-koma manga,Book,Card game,Digital manga,Game,Light novel,Manga,Music,Novel,Original,Other,Picture book,Radio,Unknown,Visual novel,Web manga
3008,3399,Rokushin Gattai GodMars,700,"Action, Mecha, Sci-Fi, Space",God Mars,六神合体ゴッドマーズ,TV,64,"Oct 2, 1981 to Dec 24, 1982",Fall 1981,Unknown,Discotek Media,Tokyo Movie Shinsha,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,7005,8985,1896,1,140,459,137,151,1009,30.0,22.0,54.0,108.0,82.0,54.0,36.0,22.0,17.0,10.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,162,Pita Ten,700,"Comedy, Fantasy, Kids, Romance, School, Shounen",Pita-Ten,ぴたテン,TV,26,"Apr 7, 2002 to Sep 29, 2002",Spring 2002,Broccoli,Nozomi Entertainment,Madhouse,Manga,24 min. per ep.,G - All Ages,3863,3626,20422,104,743,11980,1103,1557,5039,601.0,939.0,1793.0,2671.0,1814.0,1058.0,409.0,165.0,71.0,55.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6777,12549,"Dakara Boku wa, H ga Dekinai.",700,"Comedy, Supernatural, Romance, Ecchi","So, I Can't Play H!",だから僕は、Hができない。,TV,12,"Jul 6, 2012 to Sep 25, 2012",Summer 2012,"Geneon Universal Entertainment, Sotsu, Lantis, AT-X, KlockWorx, Fujimi Shobo",Sentai Filmworks,feel.,Light novel,25 min. per ep.,R+ - Mild Nudity,5177,414,332158,825,16228,229141,9338,18247,59204,9662.0,12843.0,28315.0,48553.0,36340.0,21051.0,10200.0,4675.0,2566.0,1582.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11637,32956,Aware! Meisaku-kun,0,"Comedy, Parody, Kids, School",Aware! Meisaku-kun,あはれ! 名作くん,TV,Unknown,"Apr 8, 2016 to ?",Spring 2016,Unknown,Unknown,Pie in the sky,Original,5 min.,G - All Ages,13379,12513,434,0,112,0,36,131,155,6.0,1.0,3.0,7.0,15.0,4.0,13.0,7.0,5.0,18.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14813,38276,Houkago Saikoro Club,700,"Game, Comedy, School, Shounen",After School Dice Club,放課後さいころ倶楽部,TV,12,"Oct 3, 2019 to Dec 19, 2019",Fall 2019,"Genco, MediaNet, Nippon Columbia, Ai Addiction, Shogakukan, ABC Animation, Happinet, HOBBY BASE Yellow Submarine",Funimation,LIDENFILMS,Manga,23 min. per ep.,PG-13 - Teens 13 or older,4799,2748,34830,50,3524,15186,1517,4287,10316,437.0,776.0,2267.0,4539.0,3321.0,1856.0,648.0,252.0,89.0,85.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
972,1070,Love Get Chu,700,"Comedy, Romance",Unknown,ラブゲッCHU ～ミラクル声優白書～,TV,25,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Unknown,Unknown,Radix,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,5506,5539,7349,8,498,1798,637,620,3796,89.0,114.0,281.0,488.0,388.0,249.0,96.0,39.0,18.0,19.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7113,14237,Busou Shinki,700,"Action, Sci-Fi, Slice of Life, Mecha",Busou Shinki:Armored War Goddess,武装神姫,TV,12,"Oct 5, 2012 to Dec 21, 2012",Fall 2012,Unknown,Sentai Filmworks,8bit,Other,24 min. per ep.,PG-13 - Teens 13 or older,6752,2795,33527,46,2207,15105,1608,4062,10545,403.0,564.0,1645.0,3191.0,2975.0,1994.0,973.0,458.0,292.0,153.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6742,12393,Oyako Club,600,"Slice of Life, Comedy",Unknown,親子クラブ,TV,1818,"Oct 3, 1994 to Mar 30, 2013",Fall 1994,Fuji TV,Unknown,Eiken,Original,5 min. per ep.,G - All Ages,9440,11257,716,0,39,428,17,99,133,33.0,9.0,12.0,25.0,43.0,60.0,39.0,16.0,10.0,21.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3362,3900,Ougon Bat,700,"Action, Sci-Fi, Super Power",Golden Bat,黄金バット,TV,52,"Apr 1, 1967 to Mar 23, 1968",Spring 1967,Tele-Cartoon Japan,Unknown,"Dai-Ichi Douga, Dongyang Animation",Novel,25 min. per ep.,PG-13 - Teens 13 or older,6697,9641,1462,4,105,357,100,154,746,16.0,19.0,28.0,67.0,82.0,50.0,24.0,13.0,11.0,11.0,,No Sequel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6658,11933,Oda Nobuna no Yabou,800,"Comedy, Historical, Romance",The Ambition of Oda Nobuna,織田信奈の野望,TV,12,"Jul 9, 2012 to Sep 24, 2012",Summer 2012,"Pony Canyon, AT-X, KlockWorx, SoftBank Creative",Sentai Filmworks,"Madhouse, Studio Gokumi",Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1703,599,242603,1115,11215,159454,6185,8087,57662,9330.0,17367.0,35346.0,34688.0,15641.0,6877.0,2498.0,982.0,480.0,289.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2549,2769,Galactic Patrol Lensman,700,"Action, Adventure, Sci-Fi",Unknown,GALACTIC PATROL　レンズマン,TV,25,"Oct 6, 1984 to Mar 30, 1985",Fall 1984,"Tatsunoko Production, MK Pictures",Unknown,Madhouse,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,6843,9994,1238,3,79,308,76,94,681,16.0,16.0,30.0,46.0,64.0,32.0,15.0,15.0,3.0,8.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8419,21267,Go! Go! 575,600,Slice of Life,Unknown,ゴ～！ゴ～！ご～しちご～,TV,4,"Jan 10, 2014 to Jan 31, 2014",Winter 2014,"Sega, Half H.P Studio",Unknown,"C2C, Lay-duce",Game,3 min. per ep.,PG-13 - Teens 13 or older,9285,4847,10247,5,302,7280,164,384,2117,119.0,123.0,394.0,1013.0,1367.0,1320.0,568.0,310.0,159.0,116.0,,No Sequel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3201,3655,Nabari no Ou,800,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",Nabari no Ou,隠の王,TV,26,"Apr 7, 2008 to Sep 29, 2008",Spring 2008,"Square Enix, Kinyosha",Funimation,J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2409,1007,147403,1422,9075,71346,9175,9962,47845,5705.0,7993.0,14009.0,16493.0,9200.0,4778.0,2071.0,706.0,373.0,295.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3747,4618,RideBack,800,"Action, Drama, Mecha, School, Sci-Fi",Ride Back,ライドバック,TV,12,"Jan 12, 2009 to Mar 30, 2009",Winter 2009,Geneon Universal Entertainment,Funimation,Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2405,2472,42283,133,1767,23727,1669,1897,13223,1143.0,2503.0,5099.0,5802.0,2839.0,1399.0,479.0,154.0,64.0,57.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6269,10554,Yakyuukyou no Uta,700,"Action, Drama, Sports",Unknown,野球狂の詩,TV,25,"Dec 23, 1977 to Mar 26, 1979",Winter 1978,Studio Jack,Unknown,Nippon Animation,Manga,46 min. per ep.,PG-13 - Teens 13 or older,5927,10835,845,1,47,180,37,105,476,14.0,9.0,18.0,32.0,24.0,22.0,9.0,4.0,2.0,5.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1978,2161,Skull Man,700,"Action, Mystery, Super Power",The Skull Man,スカルマン SKULL MAN,TV,13,"Apr 29, 2007 to Jul 22, 2007",Spring 2007,"Geneon Universal Entertainment, Diomedéa",Sentai Filmworks,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5161,3247,25470,53,1237,8975,1040,1304,12914,260.0,518.0,1371.0,2240.0,1632.0,862.0,440.0,172.0,87.0,69.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11434,32615,Youjo Senki,800,"Action, Military, Magic",The Saga of Tanya the Evil,幼女戦記,TV,12,"Jan 6, 2017 to Mar 31, 2017",Winter 2017,"Media Factory, AT-X, Enterbrain, Sony Music Communications","Funimation, Crunchyroll",Nut,Light novel,24 min. per ep.,R - 17+ (violence & profanity),547,177,600880,8497,39165,402559,17021,20785,121350,40092.0,76482.0,110133.0,65763.0,22166.0,8699.0,3918.0,1586.0,773.0,829.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2339,2552,Tetsuko no Tabi,700,"Comedy, Seinen, Slice of Life",Unknown,鉄子の旅,TV,13,"Jun 24, 2007 to Sep 23, 2007",Summer 2007,"Shogakukan-Shueisha Productions, Toei Video, Tohokushinsha Film Corporation, Shogakukan",Unknown,Group TAC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,6804,8752,2077,6,169,416,177,232,1083,26.0,11.0,65.0,139.0,113.0,63.0,34.0,15.0,9.0,8.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5484,8687,Doraemon (2005),800,"Sci-Fi, Comedy, Kids, Shounen",Unknown,ドラえもん (2005),TV,Unknown,"Apr 22, 2005 to ?",Spring 2005,TV Asahi,Unknown,Shin-Ei Animation,Manga,25 min.,PG - Children,1512,4562,12037,159,4970,5,1915,2485,2662,988.0,691.0,1250.0,1373.0,637.0,339.0,82.0,51.0,25.0,60.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4688,6672,Video Senshi Lezarion,700,"Action, Mecha, Sci-Fi",Video Warrior Laserion,ビデオ戦士レザリオン,TV,45,"Mar 4, 1984 to Feb 3, 1985",Spring 1984,Unknown,Unknown,Toei Animation,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,6383,10924,816,1,52,218,67,116,363,19.0,12.0,22.0,40.0,34.0,31.0,19.0,7.0,7.0,5.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3568,4244,Ginga Shippuu Sasuraiger,700,"Action, Adventure, Mecha",Galactic Gale Sasuraiger,銀河疾風サスライガー,TV,43,"Apr 5, 1983 to Jan 31, 1984",Spring 1983,"TV Tokyo, Kokusai Eigasha",Unknown,Unknown,Original,25 min. per ep.,PG-13 - Teens 13 or older,6745,10793,862,1,47,188,47,64,516,10.0,14.0,11.0,34.0,25.0,15.0,11.0,4.0,3.0,4.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12934,35248,18if,700,"Mystery, Supernatural",18if,18if,TV,13,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"Sotsu, DLE, BS Fuji, Tokyo MX, Mobcast, RAY",Funimation,Gonzo,Game,23 min. per ep.,R - 17+ (violence & profanity),7490,2353,46598,89,3973,17927,2263,7453,14982,570.0,866.0,1989.0,3717.0,3859.0,2853.0,1805.0,827.0,515.0,368.0,,No Sequel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4451,6087,Jetter Mars,700,"Action, Drama, Mecha, Sci-Fi",Unknown,ジェッターマルス,TV,27,"Feb 3, 1977 to Sep 15, 1977",Winter 1977,"Madhouse, Fuji TV, Tezuka Productions",Unknown,Toei Animation,Original,23 min. per ep.,G - All Ages,7261,10631,921,1,49,365,54,104,349,28.0,8.0,35.0,71.0,40.0,54.0,21.0,9.0,5.0,3.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1244,1375,Watashi no Ashinaga Ojisan,800,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",My Daddy Long Legs,私のあしながおじさん,TV,40,"Jan 4, 1990 to Dec 23, 1990",Winter 1990,Unknown,Unknown,Nippon Animation,Novel,23 min. per ep.,G - All Ages,918,4587,11805,116,498,6213,427,422,4245,789.0,788.0,1194.0,1192.0,501.0,240.0,63.0,31.0,10.0,20.0,,No Sequel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16934,42321,Battle Athletess Daiundoukai ReSTART!,0,"Action, Sci-Fi, Adventure, Comedy, Sports, School",Unknown,バトルアスリーテス 大運動会ReSTART!,TV,Unknown,"Apr 11, 2021 to ?",Spring 2021,Unknown,Unknown,Seven,Original,Unknown,Unknown,0,10282,1094,4,0,0,0,0,1094,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No Sequel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8543,21855,Hanamonogatari,800,"Mystery, Comedy, Supernatural",Hanamonogatari,花物語,TV,5,"Aug 16, 2014",Summer 2014,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,25 min. per ep.,R - 17+ (violence & profanity),552,426,326419,1168,8132,233486,3805,1528,79468,22719.0,37377.0,64988.0,39534.0,11591.0,3570.0,1162.0,416.0,226.0,418.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13982,36981,Neko no Dayan (2017),0,Kids,Unknown,猫のダヤン (2017),TV,30,"Oct 14, 2017 to May 3, 2018",Fall 2017,Unknown,Unknown,Unknown,Picture book,3 min. per ep.,G - All Ages,11107,15616,159,0,14,43,9,39,54,3.0,5.0,1.0,4.0,8.0,6.0,2.0,2.0,2.0,8.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11680,33046,B-Project: Kodou*Ambitious,700,"Music, Shoujo",Unknown,B-PROJECT～鼓動＊アンビシャス～,TV,12,"Jul 3, 2016 to Sep 25, 2016",Summer 2016,"Aniplex, Movic, MAGES., Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Lawson, ABC Animation",Unknown,A-1 Pictures,Music,24 min. per ep.,PG-13 - Teens 13 or older,5240,2633,37598,209,3341,17319,1628,3617,11693,998.0,997.0,1901.0,3277.0,2965.0,1881.0,865.0,425.0,247.0,177.0,,No Sequel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1766,1936,Misute♡naide Daisy,600,"Sci-Fi, Comedy, Romance, Shounen","Don't Leave Me Alone, Daisy",みすて♡ないでデイジー,TV,12,"Jul 3, 1997 to Sep 18, 1997",Summer 1997,Unknown,Bandai Entertainment,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,9296,9914,1286,3,57,451,48,111,619,14.0,10.0,30.0,59.0,68.0,65.0,43.0,23.0,19.0,28.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2753,3021,Yume Senshi Wingman,700,"Action, Comedy, Super Power, Romance, School",Wingman,夢戦士ウイングマン,TV,47,"Feb 7, 1984 to Feb 26, 1985",Winter 1984,TV Asahi,Unknown,Toei Animation,Manga,24 min. per ep.,R+ - Mild Nudity,5789,8880,1969,6,143,507,112,159,1048,29.0,20.0,66.0,113.0,101.0,56.0,25.0,10.0,3.0,2.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
639,687,Tokyo Mew Mew,700,"Sci-Fi, Comedy, Magic, Romance, Fantasy, Shoujo",Mew Mew Power,東京ミュウミュウ,TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,"Kodansha, TV Aichi",4Kids Entertainment,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3669,1251,115993,1418,5203,74793,6636,9646,19715,4706.0,5838.0,10678.0,16391.0,11051.0,6744.0,2321.0,903.0,515.0,316.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6698,12139,Wanpaku Tanteidan,0,"Action, Mystery",Unknown,わんぱく探偵団,TV,35,"Feb 1, 1968 to Sep 26, 1968",Winter 1968,Fuji TV,Unknown,Mushi Production,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,12795,11976,534,0,23,95,33,81,302,6.0,3.0,3.0,10.0,13.0,12.0,5.0,6.0,1.0,3.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3539,4183,Uchuu Taitei God Sigma,700,"Action, Space, Mecha",Space Emperor God Sigma,宇宙大帝ゴッドシグマ,TV,50,"Mar 19, 1980 to Feb 25, 1981",Spring 1980,TV Tokyo,Unknown,Toei Animation,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,6539,10866,834,2,45,270,33,94,392,13.0,7.0,29.0,46.0,37.0,30.0,8.0,6.0,4.0,6.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7371,16027,Greek Roman Sinhwa: Olympus Guardian,0,"Adventure, Fantasy, Historical",Unknown,그리스 로마 신화-올림포스 가디언,TV,39,"Dec 11, 2002 to Jul 31, 2003",Winter 2003,Unknown,Unknown,Unknown,Unknown,25 min. per ep.,Unknown,14199,10916,822,6,55,169,39,57,502,14.0,11.0,16.0,27.0,18.0,18.0,9.0,1.0,2.0,6.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3241,3724,Taiko no Tatsujin,700,Game,Taiko Drum Master,太鼓の達人,TV,26,"Apr 4, 2005 to May 15, 2006",Spring 2005,Nikkatsu,Unknown,Unknown,Unknown,4 min. per ep.,G - All Ages,8162,11016,780,5,61,274,59,89,297,23.0,10.0,20.0,48.0,50.0,43.0,23.0,6.0,6.0,11.0,,No Sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16660,41457,86,0,"Sci-Fi, Drama",Unknown,86―エイティシックス―,TV,Unknown,"Apr, 2021 to ?",Spring 2021,Unknown,Unknown,A-1 Pictures,Light novel,Unknown,Unknown,0,3759,19269,153,2,0,0,0,19267,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,68,Black Cat (TV),800,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,ブラックキャット,TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965,622,231668,1955,10510,142921,11736,11003,55498,8654.0,15253.0,29392.0,34019.0,16081.0,7534.0,2521.0,863.0,395.0,234.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12267,34148,Nyanko Days,700,"Slice of Life, Comedy",Nyanko Days,にゃんこデイズ,TV,12,"Jan 8, 2017 to Mar 26, 2017",Winter 2017,Quatre Stella,Unknown,EMT Squared,4-koma manga,2 min. per ep.,PG-13 - Teens 13 or older,5329,2108,55668,132,3242,34779,1080,2035,14532,2014.0,1549.0,3491.0,7152.0,6571.0,4113.0,1225.0,579.0,310.0,194.0,,No Sequel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14217,37374,Pastel Memories,600,"Action, Sci-Fi, Adventure",Unknown,ぱすてるメモリーズ,TV,12,"Jan 8, 2019 to Mar 26, 2019",Winter 2019,"MAGES., FuRyu",Sentai Filmworks,Project No.9,Game,24 min. per ep.,PG-13 - Teens 13 or older,10475,4008,16416,15,1420,3637,612,3741,7006,112.0,60.0,187.0,443.0,760.0,945.0,802.0,531.0,359.0,288.0,,No Sequel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7418,16355,Dansai Bunri no Crime Edge,700,"Action, Romance, Fantasy, Seinen",The Severing Crime Edge,断裁分離のクライムエッジ,TV,13,"Apr 4, 2013 to Jun 27, 2013",Spring 2013,Media Factory,Sentai Filmworks,Studio Gokumi,Manga,24 min. per ep.,R - 17+ (violence & profanity),4808,1460,95547,164,5290,51458,4005,8575,26219,2018.0,3436.0,7598.0,11493.0,7956.0,4754.0,2552.0,1115.0,629.0,408.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2941,3298,Hatenkou Yuugi,800,"Adventure, Comedy, Drama, Romance, Fantasy, Josei",Hatenkou Yugi,破天荒遊戯,TV,10,"Jan 5, 2008 to Mar 8, 2008",Winter 2008,"Frontier Works, Sotsu",Sentai Filmworks,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2944,2791,33810,192,1427,18849,1303,1829,10402,1130.0,1810.0,3186.0,4199.0,2406.0,1278.0,498.0,206.0,101.0,82.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15612,39456,Sounan Desu ka?,700,"Adventure, Comedy, Seinen",Are You Lost?,ソウナンですか?,TV,12,"Jul 2, 2019 to Sep 17, 2019",Summer 2019,"Nihon Ad Systems, Kodansha, KlockWorx, flying DOG, Avex Pictures, Docomo Anime Store, GYAO!, BS NTV, Marui Group",Unknown,Ezόla,Manga,13 min. per ep.,PG-13 - Teens 13 or older,5295,1302,109692,210,10646,61975,2936,8586,25549,1855.0,2703.0,7932.0,17079.0,12787.0,6614.0,2451.0,1154.0,484.0,346.0,,No Sequel,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12281,34176,Zero kara Hajimeru Mahou no Sho,800,"Action, Adventure, Magic, Fantasy",Unknown,ゼロから始める魔法の書,TV,12,"Apr 10, 2017 to Jun 26, 2017",Spring 2017,"Sotsu, Lantis, Half H.P Studio, Happinet Pictures, Infinite",Sentai Filmworks,White Fox,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3226,731,201601,563,15046,121613,5794,10504,48644,4700.0,8822.0,22786.0,32191.0,16151.0,7514.0,2690.0,1037.0,353.0,273.0,,No Sequel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
